[Mon 12/01/2025 11:08:48.56] Starting PISIFM Backend... 
API & WS running on http://localhost:2000
[HOURLY REPORT] Scheduler initialized. First run in 3370s at 1/12/2025, 12.05.00
✓ Hourly report scheduler initialized
[REPORT] Initializing per-shift schedulers...
[REPORT] Scheduled at 14:30, first run in 12070s
[REPORT] Scheduled at 22:00, first run in 39070s
[REPORT] Scheduled at 07:00, first run in 71470s
[REPORT] Per-shift schedulers initialized
✓ Daily report scheduler initialized
✓ LVMDP polling initialized for panels 1-4
[REPO LVMDP1] Query: 64ms, Rows: 3868
[REPO LVMDP2] Query: 29ms, Rows: 3868
[REPO LVMDP3] Query: 34ms, Rows: 3869
[REPO LVMDP4] Query: 31ms, Rows: 3869
[REPO LVMDP1] Query: 29ms, Rows: 3869
[REPO LVMDP2] Query: 23ms, Rows: 3871
[REPO LVMDP3] Query: 32ms, Rows: 3872
[REPO LVMDP3] Query: 51ms, Rows: 3873
[REPO LVMDP3] Query: 69ms, Rows: 0
[REPO LVMDP3] Query: 83ms, Rows: 0
[REPO LVMDP3] Query: 92ms, Rows: 0
[REPO LVMDP3] Query: 93ms, Rows: 0
[REPO LVMDP3] Query: 94ms, Rows: 197
[REPO LVMDP3] Query: 96ms, Rows: 0
[REPO LVMDP3] Query: 98ms, Rows: 0
[REPO LVMDP3] Query: 100ms, Rows: 0
[REPO LVMDP3] Query: 107ms, Rows: 0
[REPO LVMDP3] Query: 107ms, Rows: 0
[REPO LVMDP3] Query: 107ms, Rows: 0
[REPO LVMDP3] Query: 108ms, Rows: 0
[REPO LVMDP3] Query: 111ms, Rows: 0
[REPO LVMDP3] Query: 117ms, Rows: 403
[REPO LVMDP3] Query: 118ms, Rows: 0
[REPO LVMDP3] Query: 119ms, Rows: 0
[REPO LVMDP3] Query: 121ms, Rows: 0
[REPO LVMDP3] Query: 121ms, Rows: 0
[REPO LVMDP3] Query: 121ms, Rows: 0
[REPO LVMDP3] Query: 125ms, Rows: 0
[REPO LVMDP3] Query: 145ms, Rows: 9262
[REPO LVMDP3] Query: 150ms, Rows: 0
[REPO LVMDP3] Query: 150ms, Rows: 0
[REPO LVMDP3] Query: 150ms, Rows: 0
[REPO LVMDP3] Query: 151ms, Rows: 0
[REPO LVMDP3] Query: 151ms, Rows: 0
[REPO LVMDP3] Query: 151ms, Rows: 0
[REPO LVMDP3] Query: 178ms, Rows: 18325
[REPO LVMDP3] Query: 227ms, Rows: 18043
[REPO LVMDP3] Query: 25ms, Rows: 3873
[REPO LVMDP4] Query: 25ms, Rows: 3874
[REPO LVMDP4] Query: 12ms, Rows: 0
[REPO LVMDP4] Query: 13ms, Rows: 0
[REPO LVMDP4] Query: 13ms, Rows: 0
[REPO LVMDP4] Query: 13ms, Rows: 197
[REPO LVMDP4] Query: 16ms, Rows: 0
[REPO LVMDP4] Query: 35ms, Rows: 3874
[REPO LVMDP4] Query: 37ms, Rows: 0
[REPO LVMDP4] Query: 39ms, Rows: 0
[REPO LVMDP4] Query: 39ms, Rows: 0
[REPO LVMDP4] Query: 39ms, Rows: 0
[REPO LVMDP4] Query: 38ms, Rows: 0
[REPO LVMDP4] Query: 63ms, Rows: 9262
[REPO LVMDP4] Query: 69ms, Rows: 0
[REPO LVMDP4] Query: 69ms, Rows: 0
[REPO LVMDP4] Query: 69ms, Rows: 0
[REPO LVMDP4] Query: 69ms, Rows: 0
[REPO LVMDP4] Query: 70ms, Rows: 0
[REPO LVMDP4] Query: 70ms, Rows: 0
[REPO LVMDP4] Query: 71ms, Rows: 403
[REPO LVMDP4] Query: 105ms, Rows: 18325
[REPO LVMDP4] Query: 147ms, Rows: 18043
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP4] Query: 167ms, Rows: 0
[REPO LVMDP1] Query: 27ms, Rows: 3875
[REPO LVMDP1] Query: 24ms, Rows: 3899
[REPO LVMDP2] Query: 32ms, Rows: 3901
[REPO LVMDP3] Query: 29ms, Rows: 3901
[REPO LVMDP4] Query: 28ms, Rows: 3901
[REPO LVMDP1] Query: 78ms, Rows: 3902
[REPO LVMDP1] Query: 22ms, Rows: 3911
[REPO LVMDP1] Query: 16ms, Rows: 197
[REPO LVMDP4] Query: 27ms, Rows: 3914
[REPO LVMDP3] Query: 38ms, Rows: 3914
[REPO LVMDP2] Query: 25ms, Rows: 3915
[REPO LVMDP1] Query: 36ms, Rows: 3915
[REPO LVMDP2] Query: 24ms, Rows: 3923
[REPO LVMDP1] Query: 23ms, Rows: 3926
[REPO LVMDP4] Query: 93ms, Rows: 3930
[REPO LVMDP1] Query: 21ms, Rows: 3935
